""	"SYM"	"MKCapRate"	"acumul"	"ClaseMKCaProxy"
"1313"	"MRS"	0	1	"BC"
"1314"	"MRSA"	0	1	"BC"
"1315"	"MRT"	0	1	"BC"
"1316"	"MRV"	0	1	"BC"
"1317"	"MRY"	0	1	"BC"
"1318"	"MSC"	0	1	"BC"
"1319"	"MST"	0	1	"BC"
"1320"	"MTR"	0	1	"BC"
"1321"	"MUDRA"	0	1	"BC"
"1322"	"MWC"	0	1	"BC"
"1323"	"MXT"	0	1	"BC"
"1324"	"MYC"	0	1	"BC"
"1325"	"N7"	0	1	"BC"
"1326"	"NAMO"	0	1	"BC"
"1327"	"NAN"	0	1	"BC"
"1328"	"NANAS"	0	1	"BC"
"1329"	"NAS2"	0	1	"BC"
"1330"	"NAUT"	0	1	"BC"
"1331"	"NBIT"	0	1	"BC"
"1332"	"NBL"	0	1	"BC"
"1333"	"NBT"	0	1	"BC"
"1334"	"NDOGE"	0	1	"BC"
"1335"	"NEBU"	0	1	"BC"
"1336"	"NEC"	0	1	"BC"
"1337"	"NEF"	0	1	"BC"
"1338"	"NEOG"	0	1	"BC"
"1339"	"NETC"	0	1	"BC"
"1340"	"NETKO"	0	1	"BC"
"1341"	"NEVA"	0	1	"BC"
"1342"	"NEWB"	0	1	"BC"
"1343"	"NIC"	0	1	"BC"
"1344"	"NICE"	0	1	"BC"
"1345"	"NIMFA"	0	1	"BC"
"1346"	"NKT"	0	1	"BC"
"1347"	"NLC"	0	1	"BC"
"1348"	"NMB"	0	1	"BC"
"1349"	"NOBL"	0	1	"BC"
"1350"	"NODE"	0	1	"BC"
"1351"	"NOO"	0	1	"BC"
"1352"	"NPC"	0	1	"BC"
"1353"	"NRB"	0	1	"BC"
"1354"	"NRC"	0	1	"BC"
"1355"	"NRS"	0	1	"BC"
"1356"	"NSR"	0	1	"BC"
"1357"	"NTC"	0	1	"BC"
"1358"	"NTCC"	0	1	"BC"
"1359"	"NUBIS"	0	1	"BC"
"1360"	"NUKE"	0	1	"BC"
"1361"	"NUM"	0	1	"BC"
"1362"	"NXE"	0	1	"BC"
"1363"	"NXTI"	0	1	"BC"
"1364"	"NXTTY"	0	1	"BC"
