4.44 4.43 6.06 4.75 4.75 4.35 4.57 4.4 4.39 4.41 5.1 4.51 NA 7.82 4.39 4.51 4.81 3.38 5.01 4.7 4.41 6.9 4.48 NA 4.98 5.54 5.36
4.38 4.38 6.06 4.75 4.82 4.29 4.52 4.34 4.33 4.34 4.94 4.45 NA 8.24 4.36 4.46 4.81 3.29 5.07 4.71 4.33 6.76 4.4 NA 4.86 5.27 5.42
4.27 4.26 6.06 4.75 4.68 4.17 4.35 4.19 4.16 4.2 4.84 4.37 NA 8.36 4.2 4.32 4.81 3.01 5.06 4.71 4.18 6.67 4.25 NA 4.65 5.14 5.16
4.23 4.26 5.54 4.79 4.85 4.11 4.3 4.14 4.11 4.14 4.88 4.35 NA 8.65 4.15 4.34 4.81 2.94 5.05 4.7 4.12 6.82 4.19 NA 4.55 5.01 5.11
4.05 4.07 5.48 5.17 4.59 3.91 4.1 4.01 3.92 3.98 4.76 4.17 NA 8.04 3.97 4.17 4.64 2.69 4.98 4.7 3.93 6.65 4 NA 4.31 4.99 5.09
4.24 4.26 5.36 5.17 4.68 4.1 4.3 4.2 4.1 4.18 4.99 4.35 NA 7.89 4.17 4.35 4.55 2.77 4.89 4.65 4.13 7.02 4.25 NA 4.55 4.83 5.06
4.37 4.4 5.3 5.17 4.95 4.25 4.46 4.33 4.25 4.34 5.15 4.49 NA 8.25 4.31 4.49 4.46 3.05 4.95 4.65 4.37 7.32 4.42 NA 4.68 4.77 5.13
4.42 4.46 5.3 5.49 5.09 4.31 4.53 4.39 4.48 4.39 5.24 4.55 NA 8.55 4.38 4.54 4.47 3.12 4.93 4.65 4.42 7.27 4.47 NA 4.72 4.69 5.09
4.31 4.34 5.3 6.58 5.17 4.24 4.62 4.28 4.37 4.27 5.14 4.44 NA 8.47 4.27 4.44 4.58 3.04 4.89 4.65 4.31 7.44 4.35 NA 4.57 4.64 5.03
4.15 4.18 5.3 6.58 5.09 4.08 4.45 4.15 4.21 4.11 5.03 4.28 NA 8.44 4.09 4.28 4.57 2.86 4.88 4.7 4.15 7.36 4.18 NA 4.42 4.66 5.02
4.09 4.11 5.3 6.58 5.09 4.02 4.38 4.08 4.14 4.09 4.95 4.22 NA 8.58 4.04 4.25 4.56 2.83 4.87 4.7 4.09 6.96 4.12 NA 4.37 4.63 5.04
3.97 3.98 5.24 6.58 4.89 3.89 4.23 3.97 4.01 3.98 4.81 4.11 NA 8.23 3.92 4.13 4.38 2.69 4.63 4.71 3.96 6.8 3.99 NA 4.25 4.47 5.08
3.84 3.85 5.13 6.45 4.63 3.78 4.09 3.85 3.89 3.86 4.74 3.97 NA 7.64 3.8 4 4.25 2.59 4.58 4.7 3.85 6.45 3.86 NA 4.13 4.3 4.92
3.63 3.66 5.01 6.26 4.14 3.58 3.85 3.64 3.68 3.64 4.58 3.77 NA 7.17 3.62 3.79 3.95 2.54 4.58 4.7 3.63 6 3.64 NA 3.9 4.07 4.58
3.56 3.59 4.48 6.13 3.91 3.56 3.73 3.59 3.6 3.58 4.6 3.69 NA 7.21 3.52 3.71 3.85 2.55 4.29 4.71 3.56 5.97 3.56 NA 3.84 3.87 4.04
3.55 3.57 4.21 6.06 3.62 3.54 3.64 3.58 3.57 3.6 4.66 3.69 NA 6.84 3.51 3.68 3.8 2.56 4.03 4.72 3.55 5.73 3.55 NA 3.76 3.92 3.8
