""	"SYM"	"Algorithm"	"ProofType"	"PercVolume"	"ClassVolume"	"PercMKCaP"	"ClassMKCaP"	"ClassVolumeUSD"	"ClassRet"	"ClassRisk"	"DecVolumeUSD"	"DecRet"	"DecRisk"	"ClassSharpeR"	"ClassBeta"	"DecAge"	"Kmeans"	"HistDAWass"	"TADPole"	"Combi"
"106"	"AUA"	"N/A"	"N/A"	"P70"	"BC"	"P70"	"BC"	"Average"	"Low"	"High"	"D5"	"D4"	"D9"	"SRF"	"HighVol"	"D5"	3	1	2	6
"107"	"AUD"	NA	NA	"P90"	"BC"	"P70"	"BC"	"Average"	"High"	"Low"	"D9"	"D10"	"D4"	"SRF"	"NegBeta"	"D10"	2	3	3	1
"108"	"AUR"	"Scrypt"	"PoW/PoS"	"P70"	"BC"	"P80"	"BC"	"Low"	"Low"	"High"	"D4"	"D4"	"D10"	"SRF"	"LowVol"	"D5"	3	1	2	6
"109"	"AURS"	"Scrypt"	"N/A"	"P70"	"BC"	"P100"	"BC"	"Low"	"High"	"Low"	"D4"	"D10"	"D4"	"SRF"	"CashLike"	"D4"	2	2	2	10
"110"	"AV"	"PoS"	"PoS"	"P70"	"BC"	"P70"	"BC"	"Average"	"High"	"Average"	"D7"	"D10"	"D6"	"SRF"	"LowVol"	"D9"	2	3	3	1
"111"	"AVT"	"N/A"	"N/A"	"P90"	"BC"	"P80"	"BC"	"Average"	"Low"	"Average"	"D7"	"D4"	"D5"	"SRF"	"LowVol"	"D10"	3	3	3	3
"112"	"AXIOM"	"N/A"	"PoW/PoS"	"P70"	"BC"	"P70"	"BC"	"Low"	"High"	"Low"	"D4"	"D10"	"D4"	"SRF"	"CashLike"	"D4"	2	3	2	2
"113"	"AXR"	"N/A"	"N/A"	"P70"	"BC"	"P70"	"BC"	"Low"	"Average"	"Low"	"D4"	"D9"	"D4"	"ERP"	"LowVol"	NA	2	3	3	1
"114"	"B2B"	"N/A"	"N/A"	"P70"	"BC"	"P90"	"BC"	"Average"	"Average"	"High"	"D7"	"D6"	"D10"	"ERP"	"HighVol"	"D8"	3	1	2	6
"115"	"B2X"	"X11"	"PoW/PoS"	"P99"	"BC"	"P70"	"BC"	"Average"	"Low"	"High"	"D9"	"D4"	"D10"	"ERP"	"Extreme"	"D10"	1	5	2	17
"116"	"B3"	"X11"	"PoW/PoS"	"P70"	"BC"	"P70"	"BC"	"High"	"Average"	"Average"	"D9"	"D6"	"D8"	"SRF"	"HighVol"	"D8"	3	1	3	5
"117"	"BAC"	"N/A"	"PoW"	"P70"	"BC"	"P70"	"BC"	"Average"	"Low"	"High"	"D5"	"D4"	"D10"	"ERP"	"LowVol"	"D5"	3	1	2	6
"118"	"BAN"	"PoS"	"N/A"	"P70"	"BC"	"P70"	"BC"	"Average"	"High"	"Average"	"D8"	"D9"	"D7"	"ERP"	"LowVol"	"D6"	2	3	2	2
"119"	"BAR"	"N/A"	"N/A"	"P70"	"BC"	"P90"	"BC"	"Average"	"High"	"High"	"D6"	"D10"	"D10"	"SRF"	"NegBeta"	"D4"	2	4	2	15
"120"	"BAS"	"N/A"	"N/A"	"P70"	"BC"	"P70"	"BC"	"Average"	"Low"	"Average"	"D9"	"D4"	"D8"	"SRF"	"LowVol"	"D9"	3	3	3	3
"121"	"BASH"	"Scrypt"	"PoW/PoS"	"P70"	"BC"	"P70"	"BC"	"Average"	"Average"	"High"	"D6"	"D6"	"D9"	"SRF"	"LowVol"	"D6"	3	1	2	6
"122"	"BAT"	"N/A"	"N/A"	"P100"	"BC"	"P99"	"BC"	"High"	"High"	"Average"	"D10"	"D9"	"D4"	"SRF"	"HighVol"	"D10"	2	3	3	1
"123"	"BAY"	"N/A"	"PoS"	"P99"	"BC"	"P90"	"BC"	"High"	"Low"	"Average"	"D10"	"D4"	"D5"	"SRF"	"HighVol"	"D10"	3	3	2	4
"124"	"BBCC"	"Scrypt"	"PoW/PoS"	"P70"	"BC"	"P70"	"BC"	"Average"	"Low"	"High"	"D5"	"D4"	"D9"	"SRF"	"NegBeta"	"D5"	3	1	3	5
"125"	"BBP"	"Proof-of-BibleHash"	"POBh"	"P80"	"BC"	"P80"	"BC"	"High"	"Average"	"Average"	"D10"	"D6"	"D7"	"ERP"	"LowVol"	"D10"	2	3	3	1
"126"	"BBR"	"X11"	"PoW"	"P70"	"BC"	"P70"	"BC"	"Average"	"High"	"Low"	"D6"	"D10"	"D4"	"ERP"	"LowVol"	"D10"	2	3	3	1
"127"	"BBT"	"N/A"	"N/A"	"P70"	"BC"	"P70"	"BC"	"Average"	"Low"	"High"	"D5"	"D4"	"D9"	"ERP"	"LowVol"	"D4"	3	1	3	5
"128"	"BC"	"N/A"	"N/A"	"P70"	"BC"	"P70"	"BC"	"Low"	"Average"	"Low"	"D4"	"D9"	"D4"	"ERP"	"LowVol"	"D4"	2	3	2	2
"129"	"BCAP"	"N/A"	"N/A"	"P70"	"BC"	"P90"	"BC"	"Low"	"High"	"Low"	"D4"	"D9"	"D4"	"SRF"	"LowVol"	"D6"	2	3	2	2
"130"	"BCCOIN"	"Scrypt"	"PoW/PoS"	"P70"	"BC"	"P70"	"BC"	"Average"	"Low"	"Average"	"D6"	"D4"	"D8"	"ERP"	"LowVol"	"D5"	3	1	2	6
"131"	"BCD"	"X13"	"PoW/PoS"	"P100"	"BC"	"P99"	"BC"	"High"	"Low"	"High"	"D10"	"D4"	"D10"	"ERP"	"LowVol"	"D9"	3	1	2	6
"132"	"BCDN"	"N/A"	"N/A"	"P80"	"BC"	"P80"	"BC"	"High"	"Low"	"Average"	"D9"	"D4"	"D6"	"ERP"	"Indexlike"	"D9"	3	3	3	3
