""	"SYM"	"rmedio"	"volatility"	"Kmeans"	"HistDAWass"	"TADPole"	"Combi"
"261"	"CARBON"	-0.00514839740666301	0.206793340125043	2	3	3	1
"262"	"CASH"	-0.00329778524006929	0.0441384297114438	2	3	3	1
"263"	"CAT*"	-0.0129534746643365	0.177426614795526	3	3	3	3
"264"	"CBC"	0.0194325533010491	0.568420393633909	2	4	3	16
"265"	"CBD"	0.000652710131918985	0.0145928703135951	2	3	3	1
"266"	"CBX"	0.00144434494098223	0.542043273589127	2	2	2	10
"267"	"CC"	-0.0048403227263488	0.25209453263131	2	1	2	7
"268"	"CCC"	-0.00238515193206498	0.315580209212424	2	1	3	8
"269"	"CCN"	-0.00997019340169062	0.0940731691338086	3	3	2	4
"270"	"CCO"	-0.00713260426748576	0.304298895605257	3	1	2	6
"271"	"CCRB"	-0.00234538889542553	0.369644276187	2	1	2	7
"272"	"CCT"	-0.0116711358008478	0.118967954527834	3	3	2	4
"273"	"CCX"	-0.00168083507948151	0.372774513844646	2	1	3	8
"274"	"CDN"	-0.00672045291755076	0.114467845430437	3	3	2	4
"275"	"CDT"	-0.00741873485948515	0.0985056605757544	3	3	3	3
"276"	"CDX"	-0.0137225023358796	0.488716315339257	3	1	2	6
"277"	"CDY"	-0.0169892664918373	0.195815802953956	3	1	2	6
"278"	"CEFS"	-0.00488511373350618	0.102313350638532	2	3	3	1
"279"	"CELL"	0	0	2	2	3	9
"280"	"CESC"	0.00251171104058457	0.305299536345017	2	1	3	8
"281"	"CETI"	-0.00329852244019274	0.0441416424155867	2	3	3	1
"282"	"CF"	-0.000528337139291092	0.445135925096083	2	1	2	7
"283"	"CFC"	-0.0101552426852546	0.316393594451828	3	1	2	6
"284"	"CFT"	-0.00839701882167304	0.108504633204023	3	3	2	4
"285"	"CGA"	-0.0032985262370602	0.0441499694463858	2	3	2	2
"286"	"CGT"	-0.00329794232843267	0.0441382711710823	2	3	2	2
"287"	"CHA"	-0.00329875471417454	0.0441323344356483	2	3	2	2
"288"	"CHAO"	-0.00329832651153236	0.0441322038371134	2	3	2	2
"289"	"CHASH"	-0.0032982169676686	0.0441254505586504	2	3	3	1
"290"	"CHAT"	-0.0095244857244715	0.255121941682987	3	1	3	5
"291"	"CHC"	0	0	2	2	2	10
"292"	"CHESS"	-0.000324545180300458	0.171121050615907	2	1	2	7
"293"	"CHIEF"	-0.00329827936911592	0.0441316405612435	2	3	3	1
"294"	"CHILD"	-0.00329798636260593	0.0441321094199869	2	3	3	1
"295"	"CHIP"	-0.00508426929194591	0.349582789629657	3	1	2	6
"296"	"CHOOF"	-0.0011945732415922	0.24141027852737	2	1	2	7
"297"	"CIN"	-0.00283949463438537	0.121019489874689	2	3	3	1
"298"	"CINNI"	-0.00329852382563391	0.0441308285186034	2	3	1	19
"299"	"CIR"	-0.00329827936911592	0.0441316405612435	2	3	3	1
"300"	"CIRC"	0.00818506085670489	0.194968875278219	2	1	2	7
"301"	"CJ"	-0.00797887775417554	0.311198115174602	3	1	3	5
"302"	"CJC"	-0.00635402899240094	0.210188586128066	3	3	3	3
"303"	"CKC"	-0.00329763186678776	0.0441316165523603	2	3	2	2
"304"	"CLAM"	-0.00703642389674501	0.27264686997282	3	1	3	5
"305"	"CLD"	-0.0154985630240184	0.554032767290796	3	1	3	5
"306"	"CLICK"	0.0117085843830776	0.597695410478918	2	2	3	9
"307"	"CLINT"	-0.00648351335998865	0.263932501700796	3	1	3	5
"308"	"CLOAK"	-0.00892171229302334	0.0847601492525645	3	3	3	3
"309"	"CLR"	-0.00329860808014091	0.0441351196921558	2	3	3	1
"310"	"CLUB"	-0.00680082656439566	0.280428304843006	3	1	3	5
"311"	"CLUD"	-0.00480310907309438	0.321472871024004	3	1	3	5
"312"	"CLV"	0	0	2	2	3	9
"313"	"CMC"	-0.000697668556854766	0.115438641690646	2	3	3	1
"314"	"CMP"	-0.00214002463185009	0.0738841947843898	2	3	3	1
"315"	"CMPCO"	-0.00597830039071619	0.136729615365963	3	3	3	3
"316"	"CMS"	-0.0101893029200792	0.21606601530151	3	3	2	4
"317"	"CMT"	-0.0057379846789784	0.328225037708667	3	1	3	5
"318"	"CMTC"	-0.0126137279369456	0.378379342862449	3	1	2	6
"319"	"CNBC"	-0.00329844555371941	0.0441292913058615	2	3	3	1
"320"	"CNC"	-0.00329798636260593	0.0441347384057458	2	3	2	2
"321"	"CND"	-0.00614687826824389	0.0961458417133053	3	3	3	3
"322"	"CNL"	-0.00329913186874921	0.0441418578873506	2	3	3	1
"323"	"CNMT"	-0.00329949670930174	0.0442117117987747	2	3	2	2
"324"	"CNO"	-0.00689997680008959	0.147092987110064	3	3	2	4
"325"	"CNT"	-0.0122891168057177	0.241485732611368	3	1	2	6
"326"	"CNX"	-0.00389438490708132	0.330077931608934	2	2	3	9
"327"	"COAL"	-0.00682780794280087	0.128660674733413	3	3	3	3
"328"	"COB"	-0.00773055558846075	0.2211268265874	3	3	3	3
"329"	"COC"	-0.00271240993040429	0.0513846401603783	2	3	2	2
"330"	"COE"	0	0	2	2	2	10
"331"	"COIN"	0.0189046088660975	0.328760256004589	2	1	2	7
"332"	"COLX"	0.00270563355236498	0.212787470288098	2	1	2	7
"333"	"COMM"	-0.00329794232843267	0.0441382711710823	2	3	2	2
"334"	"COMP"	-0.0058697357810994	0.304515968410192	3	1	2	6
"335"	"CON"	-0.00815483968905619	0.280966828910089	3	1	3	5
"336"	"COOL"	-0.00329822274516583	0.0441292413719959	2	3	3	1
"337"	"COR"	-0.0064961735990893	0.0822484933877787	3	3	3	3
"338"	"CORAL"	-0.00526746350697441	0.287811525122705	3	1	2	6
"339"	"CORE"	-0.00958949547019255	0.127293392258689	3	3	3	3
"340"	"COV"	-0.00266797746301539	0.121129342346543	2	3	3	1
"341"	"COVAL"	-0.00710353496121585	0.0848595772765492	3	3	2	4
"342"	"COX"	-0.00735137876068231	0.382437019439215	3	1	3	5
"343"	"CPAY"	-0.00792209105336415	0.138979336838205	3	3	3	3
"344"	"CPC"	-0.00328280522358126	0.330172965384341	2	1	2	7
"345"	"CPN"	-0.0050755712644339	0.12619527486719	2	3	3	1
"346"	"CQST"	-0.00329818735932302	0.145436559686171	2	3	3	1
"347"	"CRAB"	-0.0095632784777058	0.331257594562981	3	1	3	5
"348"	"CRACK"	-0.00329845751355397	0.0441294456186492	2	3	2	2
"349"	"CRAFT"	-0.0176014104878344	0.443332299250681	3	4	3	13
"350"	"CRAIG"	-0.00329835501386581	0.0441282800909742	2	3	2	2
"351"	"CRAVE"	-0.0352437700166397	0.650218791333314	3	2	3	11
"352"	"CRB"	-0.0141801785992949	0.128524695166879	3	3	2	4
"353"	"CRE"	-0.00413696101811414	0.0791447244377977	2	3	2	2
"354"	"CREA"	-0.0112014297626449	0.088472412513834	3	3	3	3
"355"	"CRED"	-0.0114648634199875	0.186768287673988	3	3	2	4
"356"	"CREDO"	3.64651419477991e-05	0.396442510712354	2	1	3	8
"357"	"CREVA"	-0.0107700565918567	0.228675613031858	3	1	2	6
"358"	"CRM"	0.00628071958245368	0.144272622342947	2	3	3	1
"359"	"CRPS"	-0.00374298043577235	0.20154100050533	2	3	3	1
"360"	"CRTM"	-0.012931142232055	0.612269321012569	3	4	2	12
"361"	"CRW"	-0.00806146585975669	0.0922905161972215	3	3	3	3
"362"	"CRX"	-0.00772442871467743	0.264123027204128	3	1	3	5
"363"	"CRYPT"	-0.0072090311794713	0.0857636516027079	3	3	3	3
"364"	"CS"	-0.0122606206293216	0.318821836419399	3	1	2	6
"365"	"CSC"	-0.0198401365068995	0.316784665298271	3	1	3	5
"366"	"CSH"	0	0	2	2	3	9
"367"	"CSMIC"	0	0	2	2	2	10
"368"	"CSNO"	-0.00676386278205741	0.113220198908821	3	3	2	4
"369"	"CST"	-0.00219046706722914	0.130944875099222	2	3	2	2
"370"	"CTC"	0	0	2	2	2	10
"371"	"CTIC"	-0.00285859099221528	0.0543162846445027	2	3	2	2
"372"	"CTO"	-0.00439600556664604	0.225066927873994	2	1	2	7
"373"	"CTR"	-0.0128574145130267	0.114177291982947	3	3	3	3
"374"	"CTT"	-0.0106510826899361	0.384875061795214	3	4	2	12
"375"	"CTX"	-0.00612349523928617	0.861267497688454	3	4	3	13
"376"	"CUBE"	0.0239261915358598	0.736615536066128	2	2	2	10
"377"	"CURE"	-0.00595500365462655	0.0782097565203828	2	3	3	1
"378"	"CVC"	-0.00741944623406943	0.077398330154172	3	3	2	4
"379"	"CWV"	-0.000975892466896954	0.138219311250634	2	3	2	2
"380"	"CWXT"	-0.00482723117878465	0.144657098676303	2	3	3	1
"381"	"CXC"	-0.00329799929105033	0.0441349939225591	2	3	3	1
