Attaccante;Bersaglio;Tecnica;Continente;Severity
Cybercrime;Online Services / Cloud;Phishing / Social Engineering;AM;3
Cybercrime;Banking / Finance;Malware;EU;2
Cybercrime;Health;Malware;AM;2
Cybercrime;Health;Phishing / Social Engineering;EU;3
Cybercrime;Gov - Mil - LE - Intelligence;Malware;AM;1
Cybercrime;Banking / Finance;Unknown;AS;2
Cybercrime;Health;Account Cracking;AM;2
Cybercrime;Research - Education;Unknown;AM;3
Cybercrime;Research - Education;Malware;AM;3
Hacktivism;Online Services / Cloud;Vulnerabilities;AM;3
Cybercrime;SW / HW Vendor;Malware;AM;2
Cybercrime;Multiple targets;Malware;AS;3
Cybercrime;Research - Education;Unknown;OC;3
Cybercrime;Hospitability;Unknown;AM;2
Cybercrime;Multiple targets;Malware;AM;3
Cybercrime;Gov - Mil - LE - Intelligence;Unknown;AM;2
Cybercrime;Entertainment / News;Phishing / Social Engineering;AM;3
Cybercrime;Banking / Finance;Phishing / Social Engineering;EU;3
Cybercrime;Health;Unknown;AM;3
Cybercrime;Telco;Vulnerabilities;EU;2
Cybercrime;Health;Unknown;AM;3
Cybercrime;Entertainment / News;Unknown;AM;3
Cybercrime;Gov - Mil - LE - Intelligence;Unknown;AM;2
Cybercrime;GDO / Retail;Unknown;EU;3
Cybercrime;GDO / Retail;Malware;EU;3
Information warfare;Gov - Mil - LE - Intelligence;Unknown;EU;1
Cybercrime;SW / HW Vendor;Malware;EU;3
Cybercrime;Research - Education;Unknown;AM;3
Cybercrime;Gov - Mil - LE - Intelligence;DDoS;AM;2
Information warfare;Gov - Mil - LE - Intelligence;0-day;EU;1
Espionage / Sabotage;Banking / Finance;0-day;AS;1
Hacktivism;Entertainment / News;DDoS;EU;3
Espionage / Sabotage;Others;Vulnerabilities;AM;1
Espionage / Sabotage;Critical Infrastructures;Multiple Threats / APT;EU;1
Cybercrime;Banking / Finance;Phishing / Social Engineering;EU;3
Cybercrime;Multiple targets;Malware;AM;3
Information warfare;Gov - Mil - LE - Intelligence;Phone Hacking;EU;1
Cybercrime;Research - Education;Unknown;AM;3
Espionage / Sabotage;Gov - Mil - LE - Intelligence;Malware;EU;1
Cybercrime;Health;Malware;EU;1
Cybercrime;Health;Malware;EU;1
Cybercrime;GDO / Retail;Unknown;AM;3
Espionage / Sabotage;Research - Education;Multiple Threats / APT;AS;1
Cybercrime;SW / HW Vendor;Multiple Threats / APT;AM;2
Cybercrime;Multiple targets;Malware;EU;3
Cybercrime;Entertainment / News;Unknown;AM;2
Cybercrime;Research - Education;Unknown;AM;3
Cybercrime;Telco;Unknown;AM;3
Cybercrime;Hospitability;Unknown;AM;3
Espionage / Sabotage;Gov - Mil - LE - Intelligence;Phishing / Social Engineering;EU;1
Cybercrime;Gov - Mil - LE - Intelligence;Malware;AM;1
Cybercrime;SW / HW Vendor;Malware;AM;3
Cybercrime;Online Services / Cloud;Vulnerabilities;AM;3
Cybercrime;Entertainment / News;Unknown;EU;3
Cybercrime;Banking / Finance;Vulnerabilities;AM;1
