,TYPE,MARKET,FROMSYMBOL,TOSYMBOL,FLAGS,PRICE,LASTUPDATE,LASTVOLUME,LASTVOLUMETO,LASTTRADEID,VOLUMEDAY,VOLUMEDAYTO,VOLUME24HOUR,VOLUME24HOURTO,OPENDAY,HIGHDAY,LOWDAY,OPEN24HOUR,HIGH24HOUR,LOW24HOUR,LASTMARKET,VOLUMEHOUR,VOLUMEHOURTO,OPENHOUR,HIGHHOUR,LOWHOUR,CHANGE24HOUR,CHANGEPCT24HOUR,CHANGEDAY,CHANGEPCTDAY,SUPPLY,MKTCAP,TOTALVOLUME24H,TOTALVOLUME24HTO
DCR,5,CCCAGG,DCR,USD,4,18.77965303,1546196659,0.0,0.0,0,0.0,0.0,0.0,0.0,18.46194485,19.53517858,18.27984382,18.56655608,19.57392348,18.26434586,OKEX,0.0,0.0,18.64404588,18.77965303,18.58592853,0.21309694999999707,1.14774624373955,0.31770818000000034,1.720881427072405,9067293.20159583,170280620.24724752,74727.46912205563,1403355.9419222432
LSK,5,CCCAGG,LSK,USD,4,1.46,1546196169,63.2,91.558472,78685138,6655.299669560001,9631.576183308995,7825.4392752799995,11332.013855223739,1.45,1.54,1.4,1.48,1.51,1.37,Exmo,0.0,0.0,1.46,1.46,1.46,-0.020000000000000018,-1.3513513513513526,0.010000000000000009,0.6896551724137937,113423731.0,165598647.26,919429.7499855637,1342274.307492238
POLY*,5,CCCAGG,POLY*,USD,1,0.14847084,1546196664,0.0,0.0,0,0.0,0.0,0.0,0.0,0.14746347,0.15149295,0.145332495,0.14436387,0.15149295,0.143395245,Binance,0.0,0.0,0.148432095,0.14847084,0.148432095,0.004106969999999988,2.8448738593666043,0.0010073699999999797,0.6831318970047154,1000000000.0,148470840.0,2030104.9171999772,301411.38234481105
NPXS,5,CCCAGG,NPXS,USD,1,0.0005036889000000001,1546196662,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0004649436,0.0005036889000000001,0.0004261983,0.0004649436,0.0005036889000000001,0.0004261983,Binance,0.0,0.0,0.0004649436,0.0005036889000000001,0.0004649436,3.874530000000007e-05,8.33333333333335,3.874530000000007e-05,8.33333333333335,280255193861.0,141161430.31513387,2960521740.118559,1491181.938706403
XET,5,CCCAGG,XET,USD,4,0.7012845000000001,1546196671,0.0,0.0,0,0.0,0.0,0.0,0.0,0.7020594,0.81403245,0.7012845000000001,0.6664140000000001,0.81403245,0.6664140000000001,IDAX,0.0,0.0,0.736155,0.736155,0.7012845000000001,0.034870500000000026,5.232558139534888,-0.0007748999999999118,-0.11037527593817727,200000000.0,140256900.00000003,551166.4070000054,386524.4581497953
DENT,5,CCCAGG,DENT,USD,4,0.0013560715,1546196659,0.0,0.0,0,0.0,0.0,0.0,0.0,0.001162347,0.0014335613,0.001162347,0.0012010919,0.0014335613,0.001162347,Binance,0.0,0.0,0.0013560715,0.0013948164,0.0013173266,0.00015497960000000017,12.90322580645163,0.0001937245000000001,16.66666666666668,100000000000.0,135607150.0,1037161620.6461078,1406465.3146519985
NANO,5,CCCAGG,NANO,USD,2,0.9604860709999999,1546196659,0.0,0.0,0,0.0,0.0,0.0,0.0,0.9639731119999998,0.9767589289999999,0.9585488259999999,0.967460153,0.9817957659999998,0.9554492339999998,Binance,0.0,0.0,0.9604860709999999,0.9635856629999998,0.9604860709999999,-0.006974082000000048,-0.7208650380456597,-0.0034870409999998575,-0.36173633440513,133248289.0,127983125.56908251,715509.080557845,687236.5055498269
SNT,5,CCCAGG,SNT,USD,4,0.018326385,1546196664,0.0,0.0,0,0.0,0.0,21947.128031729997,434.7377387325456,0.01805517,0.01867509,0.017938935,0.01790019,0.01890756,0.017783955,HuobiPro,0.0,0.0,0.018326385,0.018326385,0.018326385,0.00042619500000000074,2.380952380952385,0.00027121500000000173,1.5021459227467908,6804870174.87817,124708670.69983467,2090699536.2827945,38314997.147460744
QASH,5,CCCAGG,QASH,USD,1,0.1216593,1546196664,0.0,0.0,0,0.0,0.0,14931.92297645,1835.0965445510033,0.124487685,0.12669615,0.11948958,0.120148245,0.123015375,0.118908405,HuobiPro,0.0,0.0,0.12181428,0.12181428,0.12150432,0.0015110549999999973,1.257658819735567,-0.0028283850000000027,-2.272019919078745,1000000000.0,121659300.0,1378363.4396021743,167709.22045517497
MANA,5,CCCAGG,MANA,USD,1,0.04788882,1546196664,0.0,0.0,0,0.0,0.0,2036.1898760200002,100.65448621747488,0.04889619,0.04951611,0.047695095,0.048934935,0.049942305,0.04765635,Binance,0.0,0.0,0.04788882,0.047927565,0.04781133,-0.0010461150000000002,-2.1377672209026133,-0.0010073700000000005,-2.0602218700475445,2534891508.10344,121392963.15109417,23995627.05242662,1149125.408456548
